VISDATA
61
0 12  1 2 3 4 5 6 7 8 9 10 11 12 
1 12  0 2 3 4 5 6 7 8 9 10 11 12 
2 12  0 1 3 4 5 6 7 8 9 10 11 12 
3 15  0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 
4 15  0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 
5 15  0 1 2 3 4 6 7 8 9 10 11 12 13 14 15 
6 16  0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 
7 16  0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 
8 20  0 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 
9 20  0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 19 20 
10 21  0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 
11 22  0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 
12 23  0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 
13 21  3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 
14 22  3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 
15 24  3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 
16 20  6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 
17 19  8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 
18 19  8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 
19 19  8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 
20 20  8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 
21 20  10 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 
22 19  11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 
23 19  12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 
24 21  13 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 
25 20  14 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 31 32 33 34 
26 19  15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 
27 18  15 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 
28 17  20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 
29 16  21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 
30 17  21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 
31 17  23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 39 40 
32 18  24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 42 
33 18  24 25 26 27 28 29 30 31 32 34 35 36 37 38 39 40 41 42 
34 20  24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 
35 18  28 29 30 31 32 33 34 36 37 38 39 40 41 42 43 44 45 46 
36 19  28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 
37 21  28 29 30 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 
38 22  30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 
39 21  31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 49 50 51 52 
40 22  31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 53 
41 21  32 33 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 
42 21  32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 
43 20  34 35 36 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 53 54 
44 20  34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54 
45 20  35 36 37 38 39 40 41 42 43 44 46 47 48 49 50 51 52 53 54 55 
46 20  35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 
47 19  36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55 
48 19  37 38 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 
49 23  37 38 39 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 
50 22  38 39 40 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 59 60 
51 22  38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 
52 22  38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 56 57 58 59 60 
53 20  40 41 42 43 44 45 46 47 48 49 50 51 52 54 55 56 57 58 59 60 
54 17  43 44 45 46 47 48 49 50 51 52 53 55 56 57 58 59 60 
55 15  45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 
56 12  48 49 50 51 52 53 54 55 57 58 59 60 
57 11  49 50 51 52 53 54 55 56 58 59 60 
58 11  49 50 51 52 53 54 55 56 57 59 60 
59 11  49 50 51 52 53 54 55 56 57 58 60 
60 11  49 50 51 52 53 54 55 56 57 58 59 
